"Id","Season","Week","Neutral Site","Conference Game","Home Id","Home Team","Home Conference","Home Pregame Elo","Away Id","Away Team","Away Conference","Away Pregame Elo"
"401531415","2023","7","false","true","151","East Carolina","American Athletic","1518","2567","SMU","American Athletic","1574"
"401531371","2023","7","false","true","235","Memphis","American Athletic","1490","2655","Tulane","American Athletic","1444"
"401532594","2023","7","false","true","328","Utah State","Mountain West","1566","278","Fresno State","Mountain West","1590"
"401524029","2023","7","false","true","38","Colorado","Pac-12","1387","24","Stanford","Pac-12","1355"
"401520327","2023","7","false","true","238","Vanderbilt","SEC","1222","61","Georgia","SEC","1980"
"401520325","2023","7","false","true","2579","South Carolina","SEC","1486","57","Florida","SEC","1572"
"401524032","2023","7","false","true","204","Oregon State","Pac-12","1544","26","UCLA","Pac-12","1667"
"401520318","2023","7","false","true","96","Kentucky","SEC","1670","142","Missouri","SEC","1404"
"401520328","2023","7","false","true","275","Wisconsin","Big Ten","1742","2294","Iowa","Big Ten","1624"
"401520316","2023","7","false","true","333","Alabama","SEC","1979","8","Arkansas","SEC","1626"
"401525863","2023","7","false","true","2132","Cincinnati","Big 12","1801","66","Iowa State","Big 12","1779"
"401525526","2023","7","false","true","153","North Carolina","ACC","1555","2390","Miami","ACC","1570"
"401531889","2023","7","false","true","2247","Georgia State","Sun Belt","1522","276","Marshall","Sun Belt","1548"
"401525523","2023","7","false","true","150","Duke","ACC","1168","152","NC State","ACC","1632"
"401524034","2023","7","false","true","264","Washington","Pac-12","1536","2483","Oregon","Pac-12","1574"
"401532422","2023","7","false","true","2199","Eastern Michigan","Mid-American","1380","2309","Kent State","Mid-American","1340"
"401531381","2023","7","false","true","2636","UT San Antonio","American Athletic","1512","5","UAB","American Athletic","1546"
"401524033","2023","7","false","true","254","Utah","Pac-12","1790","25","California","Pac-12","1510"
"401525525","2023","7","false","true","221","Pittsburgh","ACC","1667","97","Louisville","ACC","1568"
"401520326","2023","7","false","true","2633","Tennessee","SEC","1640","245","Texas A&M","SEC","1708"
"401532593","2023","7","false","true","36","Colorado State","Mountain West","1399","68","Boise State","Mountain West","1664"
"401520323","2023","7","false","true","2509","Purdue","Big Ten","1635","194","Ohio State","Big Ten","1932"
"401520320","2023","7","false","true","120","Maryland","Big Ten","1496","356","Illinois","Big Ten","1496"
"401525527","2023","7","false","true","259","Virginia Tech","ACC","1412","154","Wake Forest","ACC","1640"
"401525866","2023","7","false","true","2641","Texas Tech","Big 12","1536","2306","Kansas State","Big 12","1616"
"401525864","2023","7","false","true","197","Oklahoma State","Big 12","1775","2305","Kansas","Big 12","1194"
"401525865","2023","7","false","true","2628","TCU","Big 12","1436","252","BYU","Big 12","1648"
"401531420","2023","7","false","true","58","South Florida","American Athletic","1284","2226","Florida Atlantic","American Athletic","1427"
"401532419","2023","7","false","true","2050","Ball State","Mid-American","1410","2649","Toledo","Mid-American","1534"
"401520319","2023","7","false","true","99","LSU","SEC","1538","2","Auburn","SEC","1632"
"401524030","2023","7","false","true","265","Washington State","Pac-12","1590","12","Arizona","Pac-12","1306"
"401531390","2023","7","false","true","249","North Texas","American Athletic","1426","218","Temple","American Athletic","1101"
"401520321","2023","7","false","true","130","Michigan","Big Ten","1848","84","Indiana","Big Ten","1330"
"401525524","2023","7","false","true","52","Florida State","ACC","1501","183","Syracuse","ACC","1405"
"401531890","2023","7","false","true","256","James Madison","Sun Belt","1300","290","Georgia Southern","Sun Belt","1382"
"401531405","2023","7","false","true","2429","Charlotte","American Athletic","1272","2426","Navy","American Athletic","1403"
"401520324","2023","7","false","true","164","Rutgers","Big Ten","1365","127","Michigan State","Big Ten","1563"
"401520317","2023","7","false","false","349","Army","FBS Independents","1544","2653","Troy","Sun Belt","1347"
"401532421","2023","7","false","true","2084","Buffalo","Mid-American","1382","189","Bowling Green","Mid-American","1210"
"401520322","2023","7","false","false","213","Penn State","Big Ten","1670","113","UMass","FBS Independents","1036"
"401532424","2023","7","false","true","2459","Northern Illinois","Mid-American","1376","195","Ohio","Mid-American","1368"
"401532420","2023","7","false","true","2117","Central Michigan","Mid-American","1536","2006","Akron","Mid-American","1096"
"401532423","2023","7","false","true","2711","Western Michigan","Mid-American","1538","193","Miami (OH)","Mid-American","1516"
"401532597","2023","7","false","true","2440","Nevada","Mountain West","1564","2439","UNLV","Mountain West","1300"
"401532596","2023","7","false","true","167","New Mexico","Mountain West","1229","23","San José State","Mountain West","1338"
"401531891","2023","7","false","true","326","Texas State","Sun Belt","1270","2433","Louisiana Monroe","Sun Belt","1207"
"401532598","2023","7","false","true","2005","Air Force","Mountain West","1650","2751","Wyoming","Mountain West","1497"
"401524031","2023","7","false","false","87","Notre Dame","FBS Independents","1826","30","USC","Pac-12","1487"
"401532595","2023","7","false","true","62","Hawai'i","Mountain West","1432","21","San Diego State","Mountain West","1535"
"401520330","2023","8","false","true","2335","Liberty","Conference USA","1600","2393","Middle Tennessee","Conference USA","1445"
"401520329","2023","8","false","true","55","Jacksonville State","Conference USA","","98","Western Kentucky","Conference USA",""
"401531892","2023","8","false","true","6","South Alabama","Sun Belt","1351","2572","Southern Mississippi","Sun Belt","1266"
"401520331","2023","8","false","true","2534","Sam Houston State","Conference USA","","2229","Florida International","Conference USA",""
"401520332","2023","8","false","true","2638","UTEP","Conference USA","1360","166","New Mexico State","Conference USA","1184"
"401531341","2023","8","false","true","202","Tulsa","American Athletic","1502","242","Rice","American Athletic","1245"
"401531893","2023","8","false","true","276","Marshall","Sun Belt","1548","256","James Madison","Sun Belt","1300"
"401531391","2023","8","false","true","218","Temple","American Athletic","1101","2567","SMU","American Athletic","1574"
