Game,Trophy,Team_1,Team_2,First Year,Latest Year,Meetings
Nebraska–Wisconsin,Freedom Trophy,Nebraska,Wisconsin,1901,2022,16
North Carolina–NC State,,North Carolina,NC State,1894,2022,112
North Carolina–Wake Forest,,North Carolina,Wake Forest,1888,2022,110
Northwestern–Notre Dame,,Northwestern,Notre Dame,1889,2018,49
Notre Dame–Pittsburgh,,Notre Dame,Pittsburgh,1909,2020,72
Notre Dame–Purdue,Shillelagh Trophy,Notre Dame,Purdue,1896,2021,87
Notre Dame–Stanford,Legends Trophy,Notre Dame,Stanford,1925,2022,36
Notre Dame–USC,Jeweled Shillelagh,Notre Dame,USC,1926,2022,93
Ohio State–Penn State,,Ohio State,Penn State,1912,2022,38
Oklahoma State–Tulsa,,Oklahoma State,Tulsa,1914,2021,75
Ole Miss–Tulane,,Ole Miss,Tulane,1893,2021,72
Ole Miss–Vanderbilt,,Ole Miss,Vanderbilt,1894,2022,97
Oregon–Oregon State,Platypus Trophy,Oregon,Oregon State,1894,2022,126
Oregon–Washington,,Oregon,Washington,1900,2022,114
Paint Bucket Bowl,,Arkansas State,Memphis,1914,2022,61
Palmetto Bowl,,Clemson,South Carolina,1896,2022,119
Penn State–Syracuse,,Penn State,Syracuse,1922,2013,71
Penn State–Temple,,Penn State,Temple,1931,2016,45
Penn State–West Virginia,,Penn State,West Virginia,1904,1992,59
Pittsburgh–Syracuse,,Pittsburgh,Syracuse,1916,2022,78
Red River Showdown,Golden Hat,Oklahoma,Texas,1900,2022,118
Rice–SMU,Mayor's Cup,Rice,SMU,1916,2012,90
Rice–Texas,,Rice,Texas,1914,2021,96
Rio Grande Rivalry,,New Mexico,New Mexico State,1894,2022,112
Rivalry in Dixie,,Louisiana Tech,Southern Mississippi,1935,2021,53
River City Rivalry,Paddlewheel Trophy,Cincinnati,Pittsburgh,1921,2012,12
Rocky Mountain Showdown,Centennial Cup,Colorado,Colorado State,1893,2019,91
Royal Rivalry,,James Madison,Old Dominion,2011,2022,3
Rumble in the Rockies,,Colorado,Utah,1903,2022,69
Safeway Bowl,,North Texas,SMU,1922,2022,42
Shula Bowl,Don Shula Award,Florida Atlantic,Florida International,2002,2022,21
SMU–TCU,Iron Skillet,SMU,TCU,1915,2022,101
South's Oldest Rivalry,,North Carolina,Virginia,1892,2022,127
Southwest Classic,Southwest Classic Trophy,Arkansas,Texas A&M,1903,2022,79
Stanford–USC,,Stanford,USC,1905,2022,101
Sunflower Showdown,Governor's Cup,Kansas,Kansas State,1902,2022,120
Syracuse–West Virginia,Ben Schwartzwalder Trophy,Syracuse,West Virginia,1945,2018,61
TCU–Texas,,TCU,Texas,1897,2022,93
TCU–Texas A&M,,TCU,Texas A&M,1897,2001,92
TCU–Texas Tech,Saddle Trophy,TCU,Texas Tech,1926,2022,65
Techmo Bowl,,Georgia Tech,Virginia Tech,1990,2022,19
Tennessee–Vanderbilt,,Tennessee,Vanderbilt,1892,2022,117
Texas A&M–Texas Tech,,Texas A&M,Texas Tech,1927,2011,70
Texas–Texas A&M,,Texas,Texas A&M,1894,2011,118
Texas–Texas Tech,Chancellor's Spurs,Texas,Texas Tech,1928,2022,72
Textile Bowl,Textile Bowl,Clemson,NC State,1899,2022,90
The Game,,Michigan,Ohio State,1897,2022,118
Third Saturday in October,,Alabama,Tennessee,1901,2022,105
Tiger Bowl,,Auburn,LSU,1901,2022,57
UConn–UMass,,Connecticut,UMass,1897,2022,76
UCLA–USC,Victory Bell,UCLA,USC,1929,2022,92
Virginia Tech–West Virginia,Black Diamond Trophy,Virginia Tech,West Virginia,1912,2022,54
Virginia–Virginia Tech,Commonwealth Cup,Virginia,Virginia Tech,1895,2021,103
War on I–4,War on I–4 Trophy,UCF,South Florida,2005,2022,14
